family,method,model,n_runs,source_train,target_train,weight_compute,alignment_train,TOTAL
Feature-Based,DeepMMD_tsw,LSTM,9,0.0,4.780690745332929,4.1880333406475577e-05,0.0,4.780732625666335
Feature-Based,DeepMMD_tsw,Transformer,9,0.0,6.857319221444211,4.1794000329294555e-05,0.0,6.857361015444541
Feature-Based,DeepMMD_tsbw,RNN,9,0.0,4.269147020444507,4.7776777945627044e-05,0.0,4.269194797222452
Feature-Based,DeepMMD_tsbw,LSTM,9,0.0,4.7943951052220655,5.0051444203644576e-05,0.0,4.794445156666269
Feature-Based,DeepMMD_tsbw,Transformer,9,0.0,6.831503630889226,4.719633337420722e-05,0.0,6.8315508272226
Feature-Based,DeepMMD_none,RNN,9,0.0,4.1642993501114285,0.0,0.0,4.1642993501114285
Feature-Based,DeepMMD_none,LSTM,9,0.0,4.663069028555886,0.0,0.0,4.663069028555886
Feature-Based,DeepMMD_none,Transformer,9,0.0,6.667943502000223,0.0,0.0,6.667943502000223
Feature-Based,CORAL_tsbw,RNN,9,0.0,3.1728524173330594,0.0008134173339283889,0.0,3.173665834666988
Feature-Based,CORAL_tsbw,LSTM,9,0.0,3.6923538577779658,0.000812591000188411,0.0,3.6931664487781544
Feature-Based,CORAL_tsbw,Transformer,9,0.0,5.875415114222253,0.0008303946661827111,0.0,5.876245508888435
Feature-Based,FA_tsbw,RNN,9,0.0,3.2307684924445415,0.00021256300028144444,0.0,3.230981055444823
Feature-Based,FA_tsbw,LSTM,9,0.0,3.699510432555447,0.00021408611125171113,0.0,3.6997245186666987
Feature-Based,FA_tsbw,Transformer,9,0.0,5.827623590111317,0.0002086793332030111,0.0,5.82783226944452
Feature-Based,FA_tsw,RNN,9,0.0,3.192957425222226,0.00022633166655494443,0.0,3.193183756888781
Feature-Based,FA_tsw,LSTM,9,0.0,3.670449670555374,0.00022247166654976665,0.0,3.6706721422219237
Feature-Based,FA_tsw,Transformer,9,0.0,5.826142775222252,0.000224358778117,0.0,5.826367134000368
Feature-Based,CORAL_tsw,RNN,9,0.0,3.182775851778489,0.0008228835554796333,0.0,3.1835987353339683
Feature-Based,CORAL_tsw,LSTM,9,0.0,3.6946785889999267,0.0008338755552459221,0.0,3.695512464555173
Feature-Based,CORAL_tsw,Transformer,9,0.0,5.817367521555854,0.0008329386663616333,0.0,5.818200460222215
