family,method,model,n_runs,total_params,trainable_params,frozen_params
Parameter-Based,Label-Aware Joint FT (tsw),Transformer,9,67201,67201,0
Parameter-Based,Label-Aware Pretrain to Target FT (tsbw),RNN,9,12737,12737,0
Parameter-Based,Label-Aware Pretrain to Target FT (tsbw),LSTM,9,50753,50753,0
Parameter-Based,Label-Aware Pretrain to Target FT (tsbw),Transformer,9,67201,67201,0
Parameter-Based,Label-Aware Pretrain to Target FT (tsw),RNN,9,12737,12737,0
Parameter-Based,Label-Aware Pretrain to Target FT (tsw),LSTM,9,50753,50753,0
Parameter-Based,Label-Aware Pretrain to Target FT (tsw),Transformer,9,67201,67201,0
Parameter-Based,Label-Aware Source Training (tsbw),RNN,9,12737,12737,0
Parameter-Based,Label-Aware Source Training (tsbw),LSTM,9,50753,50753,0
Parameter-Based,Label-Aware Source Training (tsbw),Transformer,9,67201,67201,0
Parameter-Based,Label-Aware Source Training (tsw),RNN,9,12737,12737,0
Parameter-Based,Label-Aware Source Training (tsw),LSTM,9,50753,50753,0
Parameter-Based,Label-Aware Source Training (tsw),Transformer,9,67201,67201,0
Parameter-Based,LinInt (alpha=0.00),RNN,9,12737,12737,0
Parameter-Based,LinInt (alpha=0.00),LSTM,9,50753,50753,0
Parameter-Based,LinInt (alpha=0.00),Transformer,9,67201,67201,0
Parameter-Based,LinInt (alpha=0.25),RNN,9,12737,12737,0
Parameter-Based,LinInt (alpha=0.25),LSTM,9,50753,50753,0
Parameter-Based,LinInt (alpha=0.25),Transformer,9,67201,67201,0
Parameter-Based,LinInt (alpha=0.50),RNN,9,12737,12737,0
Parameter-Based,LinInt (alpha=0.50),LSTM,9,50753,50753,0
Parameter-Based,LinInt (alpha=0.50),Transformer,9,67201,67201,0
Parameter-Based,LinInt (alpha=0.75),RNN,9,12737,12737,0
Parameter-Based,LinInt (alpha=0.75),LSTM,9,50753,50753,0
Parameter-Based,LinInt (alpha=0.75),Transformer,9,67201,67201,0
Parameter-Based,LinInt (alpha=1.00),RNN,9,12737,12737,0
Parameter-Based,LinInt (alpha=1.00),LSTM,9,50753,50753,0
Parameter-Based,LinInt (alpha=1.00),Transformer,9,67201,67201,0
Parameter-Based,Partial-FT-First,RNN,9,12737,4417,8320
Parameter-Based,Partial-FT-First,LSTM,9,50753,17473,33280
